| dfs.datanode.BlockChecksumOpAvgTime | datanode   |
| dfs.datanode.BlockChecksumOpNumOps | datanode   |
| dfs.datanode.BlockReportsAvgTime | datanode   |
| dfs.datanode.BlockReportsNumOps | datanode   |
| dfs.datanode.BlockVerificationFailures | datanode   |
| dfs.datanode.BlocksCached | datanode   |
| dfs.datanode.BlocksGetLocalPathInfo | datanode   |
| dfs.datanode.BlocksRead | datanode   |
| dfs.datanode.BlocksRemoved | datanode   |
| dfs.datanode.BlocksReplicated | datanode   |
| dfs.datanode.BlocksUncached | datanode   |
| dfs.datanode.BlocksVerified | datanode   |
| dfs.datanode.BlocksWritten | datanode   |
| dfs.datanode.BytesRead | datanode   |
| dfs.datanode.BytesWritten | datanode   |
| dfs.datanode.CacheReportsAvgTime | datanode   |
| dfs.datanode.CacheReportsNumOps | datanode   |
| dfs.datanode.CopyBlockOpAvgTime | datanode   |
| dfs.datanode.CopyBlockOpNumOps | datanode   |
| dfs.datanode.FlushNanosAvgTime | datanode   |
| dfs.datanode.FlushNanosNumOps | datanode   |
| dfs.datanode.FsyncCount | datanode   |
| dfs.datanode.FsyncNanosAvgTime | datanode   |
| dfs.datanode.FsyncNanosNumOps | datanode   |
| dfs.datanode.HeartbeatsAvgTime | datanode   |
| dfs.datanode.HeartbeatsNumOps | datanode   |
| dfs.datanode.PacketAckRoundTripTimeNanosAvgTime | datanode   |
| dfs.datanode.PacketAckRoundTripTimeNanosNumOps | datanode   |
| dfs.datanode.ReadBlockOpAvgTime | datanode   |
| dfs.datanode.ReadBlockOpNumOps | datanode   |
| dfs.datanode.ReadsFromLocalClient | datanode   |
| dfs.datanode.ReadsFromRemoteClient | datanode   |
| dfs.datanode.ReplaceBlockOpAvgTime | datanode   |
| dfs.datanode.ReplaceBlockOpNumOps | datanode   |
| dfs.datanode.SendDataPacketBlockedOnNetworkNanosAvgTime | datanode   |
| dfs.datanode.SendDataPacketBlockedOnNetworkNanosNumOps | datanode   |
| dfs.datanode.SendDataPacketTransferNanosAvgTime | datanode   |
| dfs.datanode.SendDataPacketTransferNanosNumOps | datanode   |
| dfs.datanode.VolumeFailures | datanode   |
| dfs.datanode.WriteBlockOpAvgTime | datanode   |
| dfs.datanode.WriteBlockOpNumOps | datanode   |
| dfs.datanode.WritesFromLocalClient | datanode   |
| dfs.datanode.WritesFromRemoteClient | datanode   |
| jvm.JvmMetrics.GcCount | datanode   |
| jvm.JvmMetrics.GcCountCopy | datanode   |
| jvm.JvmMetrics.GcCountMarkSweepCompact | datanode   |
| jvm.JvmMetrics.GcTimeMillis | datanode   |
| jvm.JvmMetrics.GcTimeMillisCopy | datanode   |
| jvm.JvmMetrics.GcTimeMillisMarkSweepCompact | datanode   |
| jvm.JvmMetrics.LogError | datanode   |
| jvm.JvmMetrics.LogFatal | datanode   |
| jvm.JvmMetrics.LogInfo | datanode   |
| jvm.JvmMetrics.LogWarn | datanode   |
| jvm.JvmMetrics.MemHeapCommittedM | datanode   |
| jvm.JvmMetrics.MemHeapMaxM | datanode   |
| jvm.JvmMetrics.MemHeapUsedM | datanode   |
